序号,预算分组,类别,位号,器件/项目,关键规格,封装,单位数量,数量单位,基础数量,备件率,MOQ,采购数量,建议料号/选型,制造商,推荐渠道,预算单价 (CNY),实际报价 (CNY),采用单价 (CNY),预计金额 (CNY),价格状态,采购优先级,供货风险,采购备注,设计追溯
11,必装元件,状态 LED,D2,电源状态 LED,0603，颜色和驱动电流按现有 1 kOhm 限流设计,LED 0603,1,每板,5,0.1,1,6,0603 LED,常用国产,立创商城,0.15,,0.15,0.90,预算估算，未询价,常规,低,建议与 D1 使用不同颜色。,requirements FR-008；design_intent D2
12,必装元件,电阻,R1/R2,5.1 kOhm 1%,USB-C CC 下拉电阻，0402，1%,0402,2,每板,10,0.1,1,11,5.1 kOhm 0402 1%,Yageo/厚声,立创商城,0.03,,0.03,0.33,预算估算，未询价,常规,低,1% 精度。,requirements FR-001；design_intent R1/R2
13,必装元件,电阻,R4/R5,1 kOhm 1%,LED 限流电阻，0402，1%,0402,2,每板,10,0.1,1,11,1 kOhm 0402 1%,Yageo/厚声,立创商城,0.03,,0.03,0.33,预算估算，未询价,常规,低,亮度不合适时可调值。,requirements FR-008；design_intent R4/R5
14,必装元件,电阻,R6/R7,33 Ohm 1%,UART 串联端接，0402，1%,0402,2,每板,10,0.1,1,11,33 Ohm 0402 1%,Yageo/厚声,立创商城,0.03,,0.03,0.33,预算估算，未询价,常规,低,与 UART 速率和波形一起确认。,design_intent R6/R7
15,必装元件,电容,C1,4.7 uF,USB 侧体去耦，0805，X5R/X7R，>= 16 V,0805,1,每板,5,0.1,1,6,4.7 uF 0805 X5R,Samsung/Yageo,立创商城,0.4,,0.4,2.40,预算估算，未询价,常规,低,优先选择 25 V 余量版本。,requirements ER-008；design_intent C1
16,必装元件,电容,C2-C5,100 nF,高频去耦，0402，X7R，>= 25 V,0402,4,每板,20,0.1,1,22,100 nF 0402 X7R,Samsung/Yageo,立创商城,0.03,,0.03,0.66,预算估算，未询价,常规,低,小批量可按 100 只起购。,requirements ER-008；design_intent C2-C5
17,必装元件,电容,C6/C10/C12,10 uF,体去耦，0603，X5R/X7R，>= 16 V,0603,3,每板,15,0.1,1,17,10 uF 0603 X5R,Samsung/Yageo,立创商城,0.25,,0.25,4.25,预算估算，未询价,常规,低,核对 DC bias 后有效容量。,requirements ER-008；design_intent C6/C10/C12
18,必装元件,电容,C7/C8,10 uF,隔离电源输入/输出去耦，1206，>= 25 V,1206,2,每板,10,0.1,1,11,10 uF 1206 X5R,Samsung/Yageo,立创商城,0.6,,0.6,6.60,预算估算，未询价,常规,低,隔离电源附近优先考虑纹波和 ESR。,requirements ER-008/PCB-005；design_intent C7/C8
19,必装元件,电容,C9/C11,100 nF,隔离侧高频去耦，0603，X7R，>= 25 V,0603,2,每板,10,0.1,1,11,100 nF 0603 X7R,Samsung/Yageo,立创商城,0.04,,0.04,0.44,预算估算，未询价,常规,低,可与隔离器就近放置配套采购。,requirements ER-008；design_intent C9/C11
20,不采购,PCB 测试点,TP1-TP4,1.0 mm 测试焊盘,KiCad 符号仅表示 PCB 测试点，不需要单独采购器件,TestPoint Pad D1.0 mm,4,每板,20,0,0,0,无,不适用,PCB 自带,0,,0,0.00,无需采购,无采购,服务,如需实体测试环，需另选机械测试点并修改封装。,requirements FR-009；design_intent TP1-TP4
21,PCB/装配,PCB 制造,PCB,2 层 FR4 板,55 x 32 mm、1.6 mm、1 oz、无铅 HASL、5 片试产,PCB 服务,1,每项目,1,0,5,5,嘉立创 2 层标准工艺,PCB 服务商,嘉立创,16,,16,80.00,服务预算估算,常规,低,按 5 片合计约 80 CNY 估算，折合单片预算 16 CNY；实际报价取决于板框、层数和交期。,requirements ME-001/ME-002/PCB-001/PCB-002
22,PCB/装配,SMT 钢网,STENCIL,SMT 钢网,单面小钢网或拼版钢网，按最终 PCB 文件定制,服务,1,每项目,1,0,1,1,嘉立创钢网服务,PCB 服务商,嘉立创,50,,50,50.00,服务预算估算,后置,低,如果采用代工贴片，可不单独采购钢网。,manufacturing
23,PCB/装配,SMT 工程费,SMT-SETUP,SMT 上机/工程费,首批 5 片的贴片开机和编程费用,服务,1,每项目,1,0,1,1,嘉立创 SMT 或本地代工,装配服务商,嘉立创/本地,200,,200,200.00,服务预算估算,常规,低,以最终 BOM/CPL 和器件库存为准。,requirements VER-005
24,PCB/装配,SMT 贴片,SMT-LABOR,SMT 贴片加工,按每板预计 30-40 个贴装点估算,服务,1,每板,5,0,1,5,SMT 拼板加工,装配服务商,嘉立创/本地,15,,15,75.00,服务预算估算,常规,低,实际以焊点和特殊器件数量为准。,requirements VER-005
25,PCB/装配,THT 插件焊接,THT-LABOR,排针和隔离电源插件焊接,J2、JP1、PS1 等插件装配和焊接,服务,1,每板,5,0,1,5,人工插件焊接,装配服务商,本地,10,,10,50.00,服务预算估算,常规,低,首版样机通常可手工焊接。,requirements VER-005
26,可选配件,机械配件,H1-H4,M2.5 安装五金,4 组螺钉、螺母或铜柱，长度按最终装配结构确认,机械,1,每项目,1,0,1,1,M2.5 五金套件,常用国产,淘宝/五金供应商,12,,12,12.00,预算估算，未询价,后置,低,在结构确认前不建议批量采购。,requirements ME-003
27,可选配件,跳线,JP1,2.54 mm 跳线帽,1x3 排针默认 1-2 短接，建议至少采购 5 个,跳线帽,1,每项目,1,0,5,5,2.54 mm 跳线帽,常用国产,立创商城/淘宝,1,,1,5.00,预算估算，未询价,后置,低,默认 3V3 输出需要安装 1-2。,requirements FR-006
28,可选配件,测试线,USB-C-CABLE,USB-C 数据线,USB 2.0 数据线，用于首次枚举和回环测试,测试附件,1,每项目,1,0,1,1,USB 2.0 Type-C 数据线,任意合格品牌,常用电商,15,,15,15.00,预算估算，未询价,后置,低,如已有测试线可不采购。,requirements FR-001/VER-003
29,可选配件,测试线,UART-HARNESS,UART 4 芯测试线,母头或飞线，用于 J2 回环和负载测试,测试附件,1,每项目,1,0,1,1,4P 2.54 mm 测试线,常用国产,淘宝/常用电商,10,,10,10.00,预算估算，未询价,后置,低,也可用杜邦线替代。,requirements FR-007/VER-003
